Site,Parameter,Sequence,Phase,Start Time,End Time,Value,Expected Value,% Error,Drift Limit %
zNRP_cals,NO2-cal,GASCALS,SPAN,07-Mar-2016 05:30:00,07-Mar-2016 05:35:00,385,378.658,1.59, 
zNRP_cals,NO2-cal,GASCALS,PREC,07-Mar-2016 05:30:00,07-Mar-2016 05:40:00,71,69.965,1.79, 
zNRP_cals,NO2-cal,GASCALS,ZERO,07-Mar-2016 05:30:00,07-Mar-2016 05:45:00,0,0.0,.04, 
zNRP_cals,NO2-cal,GASCALS%,SPAN,07-Mar-2016 05:57:00,07-Mar-2016 06:02:00,2,0.0,1.59, 
zNRP_cals,NO2-cal,GASCALS%,PREC,07-Mar-2016 05:57:00,07-Mar-2016 06:07:03,2,0.0,1.79, 
zNRP_cals,NO2-cal,GASCALS%,ZERO,07-Mar-2016 05:57:00,07-Mar-2016 06:12:03,0,0.0,.04, 
zNRP_cals,NO-cal,GASCALS,SPAN,07-Mar-2016 05:30:00,07-Mar-2016 05:35:00,464,456.4,1.65, 
zNRP_cals,NO-cal,GASCALS,PREC,07-Mar-2016 05:30:00,07-Mar-2016 05:40:00,204,204.6,.49, 
zNRP_cals,NO-cal,GASCALS,ZERO,07-Mar-2016 05:30:00,07-Mar-2016 05:45:00,0,0.0,.18, 
zNRP_cals,NO-cal,GASCALS%,SPAN,07-Mar-2016 05:57:00,07-Mar-2016 06:02:00,2,0.0,1.65, 
zNRP_cals,NO-cal,GASCALS%,PREC,07-Mar-2016 05:57:00,07-Mar-2016 06:07:03,0,0.0,-.49, 
zNRP_cals,NO-cal,GASCALS%,ZERO,07-Mar-2016 05:57:00,07-Mar-2016 06:12:03,0,0.0,.18, 
zNRP_cals,NOX-cal,GASCALS,SPAN,07-Mar-2016 05:30:00,07-Mar-2016 05:35:00,463,456.4,1.51, 
zNRP_cals,NOX-cal,GASCALS,PREC,07-Mar-2016 05:30:00,07-Mar-2016 05:40:00,203,204.6,.99, 
zNRP_cals,NOX-cal,GASCALS,ZERO,07-Mar-2016 05:30:00,07-Mar-2016 05:45:00,0,0.0,.22, 
zNRP_cals,NOX-cal,GASCALS%,SPAN,07-Mar-2016 05:57:00,07-Mar-2016 06:02:00,2,0.0,1.51, 
zNRP_cals,NOX-cal,GASCALS%,PREC,07-Mar-2016 05:57:00,07-Mar-2016 06:07:03,-1,0.0,-.99, 
zNRP_cals,NOX-cal,GASCALS%,ZERO,07-Mar-2016 05:57:00,07-Mar-2016 06:12:03,0,0.0,.22, 
zNRP_cals,NOXCON,GASCALS,SPAN,07-Mar-2016 05:30:00,07-Mar-2016 05:35:00,98,100,1.72, 
zNRP_cals,NOXCON,GASCALS,PREC,07-Mar-2016 05:30:00,07-Mar-2016 05:40:00,100,100,.16, 
zNRP_cals,NOXCON,GASCALS,ZERO,07-Mar-2016 05:30:00,07-Mar-2016 05:45:00,99,100,.94, 
zNRP_cals,O3-cal,GASCALS,SPAN,07-Mar-2016 05:30:00,07-Mar-2016 05:35:00,349,348,.28, 
zNRP_cals,O3-cal,GASCALS,PREC,07-Mar-2016 05:30:00,07-Mar-2016 05:40:00,67,67,.35, 
zNRP_cals,O3-cal,GASCALS,ZERO,07-Mar-2016 05:30:00,07-Mar-2016 05:45:00,1,0.0,.94, 
zNRP_cals,O3-cal,GASCALS%,SPAN,07-Mar-2016 05:57:00,07-Mar-2016 06:02:00,0,0.0,.28, 
zNRP_cals,O3-cal,GASCALS%,PREC,07-Mar-2016 05:57:00,07-Mar-2016 06:07:03,0,0.0,-.35, 
zNRP_cals,O3-cal,GASCALS%,ZERO,07-Mar-2016 05:57:00,07-Mar-2016 06:12:03,1,0.0,.94, 
zNRP_cals,NO2-cal,GASCALS,SPAN,08-Mar-2016 05:30:00,08-Mar-2016 05:35:00,381,376.407,1.25, 
zNRP_cals,NO2-cal,GASCALS,PREC,08-Mar-2016 05:30:00,08-Mar-2016 05:40:00,71,70.51,.52, 
zNRP_cals,NO2-cal,GASCALS,ZERO,08-Mar-2016 05:30:00,08-Mar-2016 05:45:00,0,0.0,.14, 
zNRP_cals,NO2-cal,GASCALS%,SPAN,08-Mar-2016 05:57:00,08-Mar-2016 06:02:00,1,0.0,1.25, 
zNRP_cals,NO2-cal,GASCALS%,PREC,08-Mar-2016 05:57:00,08-Mar-2016 06:07:05,1,0.0,.52, 
zNRP_cals,NO2-cal,GASCALS%,ZERO,08-Mar-2016 05:57:00,08-Mar-2016 06:12:05,0,0.0,.14, 
zNRP_cals,NO-cal,GASCALS,SPAN,08-Mar-2016 05:30:00,08-Mar-2016 05:35:00,462,456.4,1.2, 
zNRP_cals,NO-cal,GASCALS,PREC,08-Mar-2016 05:30:00,08-Mar-2016 05:40:00,203,204.6,.94, 
zNRP_cals,NO-cal,GASCALS,ZERO,08-Mar-2016 05:30:00,08-Mar-2016 05:45:00,0,0.0,.31, 
zNRP_cals,NO-cal,GASCALS%,SPAN,08-Mar-2016 05:57:00,08-Mar-2016 06:02:00,1,0.0,1.2, 
zNRP_cals,NO-cal,GASCALS%,PREC,08-Mar-2016 05:57:00,08-Mar-2016 06:07:05,-1,0.0,-.94, 
zNRP_cals,NO-cal,GASCALS%,ZERO,08-Mar-2016 05:57:00,08-Mar-2016 06:12:05,0,0.0,.31, 
zNRP_cals,NOX-cal,GASCALS,SPAN,08-Mar-2016 05:30:00,08-Mar-2016 05:35:00,460,456.4,.86, 
zNRP_cals,NOX-cal,GASCALS,PREC,08-Mar-2016 05:30:00,08-Mar-2016 05:40:00,202,204.6,1.29, 
zNRP_cals,NOX-cal,GASCALS,ZERO,08-Mar-2016 05:30:00,08-Mar-2016 05:45:00,0,0.0,.47, 
zNRP_cals,NOX-cal,GASCALS%,SPAN,08-Mar-2016 05:57:00,08-Mar-2016 06:02:00,1,0.0,.86, 
zNRP_cals,NOX-cal,GASCALS%,PREC,08-Mar-2016 05:57:00,08-Mar-2016 06:07:05,-1,0.0,-1.29, 
